ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions,negative_tone_score,inverse_goldstein,negative_tone_score_scaled,conflict_share_scaled,material_conflict_share_scaled,avg_attention_scaled,inverse_goldstein_scaled,global_tension_index_0_100
AS,2498,-1.1459451766033075,-1.38036809815951,0.2277822257806245,0.11329063250600481,0.010008006405124099,0.4199359487590072,0.760808646917534,4.269607149138666,17951,1.1459451766033075,0.0,0.0916756141282646,0.2277822257806245,0.19825860688550842,0.6423722124783331,0.0,23.201773185454613
IZ,325,-2.245733533280348,-1.95214105793451,0.26153846153846155,0.15076923076923077,0.012307692307692308,0.4584615384615385,0.5935384615384616,3.6263666417072407,1367,2.245733533280348,0.0,0.17965868266242782,0.26153846153846155,0.26384615384615384,0.45371075851922776,0.0,23.17508113132542
AG,44,-0.8914950169053442,-0.9388235086075,0.29545454545454547,0.13636363636363635,0.0,0.45454545454545453,0.022727272727272686,3.9536480439613246,221,0.8914950169053442,0.0,0.07131960135242753,0.29545454545454547,0.23863636363636362,0.5497018916796544,0.0,23.102248042459824
TU,377,-2.3473442429862836,-2.26700251889169,0.26790450928381965,0.14058355437665782,0.002652519893899204,0.4509283819628647,0.36180371352785146,3.6113967925628225,1517,2.3473442429862836,0.0,0.1877875394389027,0.26790450928381965,0.24602122015915118,0.4493201247321672,0.0,23.020667872280814
ID,270,-1.3407773777947192,-0.888461300618865,0.26296296296296295,0.17037037037037037,0.0,0.45925925925925926,0.44962962962962966,3.714160998532627,1186,1.3407773777947192,0.0,0.10726219022357754,0.26296296296296295,0.29814814814814816,0.47946070868051743,0.0,22.95668020030412
VQ,4,-3.885160664580132,-3.81526104417671,0.25,0.0,0.0,0.0,0.8500000000000001,4.050838873727286,20,3.885160664580132,0.0,0.31081285316641055,0.25,0.0,0.578207812938186,0.0,22.78041332209193
GM,861,-2.305300586088798,-2.05462598425197,0.25435540069686413,0.12659698025551683,0.015098722415795587,0.41231126596980255,0.6636469221835075,3.6687448678471557,3682,2.305300586088798,0.0,0.18442404688710382,0.25435540069686413,0.22154471544715446,0.4661402272286692,0.0,22.52928780519583
NU,46,-3.4342265103127203,-3.97350993377483,0.17391304347826086,0.08695652173913043,0.021739130434782608,0.34782608695652173,1.5260869565217392,3.8480269356484076,215,3.4342265103127203,0.0,0.27473812082501764,0.17391304347826086,0.15217391304347827,0.5187233826571774,0.0,22.39096920007868
CE,380,-1.329763641507645,-2.2884373690825246,0.21052631578947367,0.07894736842105263,0.005263157894736842,0.39473684210526316,1.1560526315789474,4.3342512489357805,2409,1.329763641507645,0.0,0.1063810913206116,0.21052631578947367,0.13815789473684212,0.6613322277707491,0.0,22.32795059235353
GL,35,-1.5711583718761282,-1.51285930408472,0.3142857142857143,0.05714285714285714,0.0,0.2571428571428571,-0.19714285714285715,3.9076996372288386,178,1.5711583718761282,0.19714285714285715,0.12569266975009025,0.3142857142857143,0.1,0.5362252944798437,0.040075574682481366,22.325585063962592
