event_date,events,avg_tone,conflict_share,avg_attention
2026-03-30,1233,-2.725043904974284,0.29521492295214924,3.695523018105667
2026-04-05,348,-2.743000171578227,0.25862068965517243,3.8697039110330502
2026-04-09,6,-0.36841237478529826,0.3333333333333333,3.5503743061267143
2026-04-12,9,1.3340026939019667,0.0,4.155645566518987
2026-04-16,1103,-2.339943026556074,0.2747053490480508,3.728131269253063
2026-04-18,8,0.4494382022472,0.0,3.3564954472886157
2026-05-05,17,-1.3017470726545353,0.47058823529411764,4.029056589159472
2026-05-11,5,-2.8743731566526063,0.6,5.084297361485294
2026-05-12,1289,-1.7557003816778172,0.2265321955003879,3.9051954505435376
2026-05-17,3,-0.95969289827256,0.0,3.6227799503415716
2026-05-18,838,-2.090853995818486,0.23031026252983294,3.9705721842732515
